Posted_date,Job Title,Country,Company,Skill
11-18-2024,IT project manager,Germany,Broadcom,"LAN,R"
06-12-2023,IT project manager,Germany,EZ4 Technologies,R
07-28-2022,IT project manager,Germany,AmplifAI Solutions,R
11-18-2024,IT project manager,Germany,Broadcom,"LAN,R"
11-22-2024,IT project manager,Germany,Inclusion Cloud,R
09-25-2019,IT project manager,Germany,Digital Success,"Software Development,R"
05-21-2024,IT project manager,Germany,Photon,"LAN,R"
02-23-2021,IT project manager,Germany,CapB InfoteK,"Software Development,R"
09-12-2024,IT project manager,Germany,Photon,"LAN,R"
12-05-2024,IT project manager,Germany,Indeed,"LAN,R"
06-07-2022,IT project manager,Germany,Winsteer Technology,"LAN,R"
11-12-2024,IT project manager,Germany,Palco,R
10-18-2024,IT project manager,Germany,Indeed,"Software Development,R"
07-11-2024,IT project manager,Germany,Harness,"LAN,R"
10-30-2024,IT project manager,Germany,Indeed,"Authorization,R"
09-28-2024,IT project manager,Germany,Indeed,"Software Development,R"
10-29-2024,IT project manager,Germany,Indeed,"LAN,R"
10-11-2024,IT project manager,Germany,Indeed,R
11-16-2023,IT project manager,Germany,"Contact Government Services, LLC","Software Development,R"
09-05-2024,IT project manager,Germany,"Contact Government Services, LLC","LAN,R"
07-23-2024,IT project manager,Germany,"Contact Government Services, LLC","LAN,R"
10-09-2024,IT project manager,Germany,"Contact Government Services, LLC","LAN,R"
08-14-2024,IT project manager,Germany,"Contact Government Services, LLC","LAN,R"
09-03-2024,IT project manager,Germany,"Contact Government Services, LLC",R
10-25-2024,IT project manager,Germany,"Contact Government Services, LLC","LAN,R"
08-30-2024,IT project manager,Germany,iSeatz,R
12-04-2024,IT project manager,Germany,Penn State University,"LAN,R"
03-08-2022,IT project manager,Germany,Penn State University,NA
03-22-2022,IT project manager,Germany,Penn State University,R
09-25-2024,IT project manager,Germany,Volvo Group,"Gin,R"
06-17-2024,IT project manager,Germany,Penn State University,"Software Development,R"
11-22-2024,IT project manager,Germany,Altamira Technologies Corp.,R
08-27-2024,IT project manager,Germany,Penn State University,R
11-08-2023,IT project manager,Germany,RTD Embedded Technologies,"LAN,R"
12-13-2022,IT project manager,Germany,Penn State University,"LAN,R"
01-24-2024,IT project manager,Germany,Penn State University,R
10-14-2024,IT project manager,Germany,Penn State University,"Gin,R"
11-07-2024,IT project manager,Germany,Penn State University,R
07-26-2023,IT project manager,Germany,Better Talent Advisors,"Go,R"
06-13-2024,IT project manager,Germany,Carlisle Companies,R
11-04-2024,IT project manager,Germany,Penn State University,"LAN,R"
01-19-2024,IT project manager,Germany,Penn State University,"Gin,Data Engineering,R"
11-19-2024,IT project manager,Germany,"Blue Mountain Quality Resources, LLC","LAN,R"
01-19-2024,IT project manager,Germany,Penn State University,"Gin,Data Engineering,R"
11-19-2024,IT project manager,Germany,"Blue Mountain Quality Resources, LLC","LAN,R"
11-20-2024,IT project manager,Germany,"Vizient, Inc.","LAN,R"
01-15-2024,IT project manager,Germany,Brock Solutions,R
12-03-2024,IT project manager,Germany,Heidelberg Materials,R
09-05-2024,IT project manager,Germany,CoreLogic,R
11-13-2024,IT project manager,Germany,Topaz Labs,"Software Development,R"
11-01-2024,IT project manager,Germany,Topaz Labs,"Software Development,R"
11-06-2024,IT project manager,Germany,JPMorgan Chase,"Software Development,R"
11-26-2024,IT project manager,Germany,SHIELD AI,R
10-29-2024,IT project manager,Germany,Vertiv,"RDS,R"
10-30-2024,IT project manager,Germany,NTT Data Services,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
12-02-2024,IT project manager,Germany,McKesson,"LAN,R"
12-04-2024,IT project manager,Germany,Lehigh Hanson,R
11-14-2024,IT project manager,Germany,"KoiReader Technologies, Inc.",R
