ID,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
52,11-08-2024,AI engineer,iOS App Developer,Indeed,NA,Germany,"Plano, TX","Authorization,R",NA,indeed.com
53,10-17-2024,AI engineer,Android Mobile Developer,Intone networks,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e49b869b922dbb240e92500077beef77,Germany,"Plano, TX","Software Development,R",NA,indeed.com
54,09-30-2024,AI engineer,Senior Mobile Engineer,Capgemini,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/705e8467dd710fe59b83f3f0d13d2b16,Germany,"Plano, TX","LAN,R",$36.98 - $57.79 an hour,indeed.com
55,10-28-2024,AI engineer,Programmer/ Developer Lead - Sr. Android Developer,Capgemini,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/705e8467dd710fe59b83f3f0d13d2b16,Germany,"Dallas, TX","LAN,R",NA,indeed.com
56,12-06-2024,AI engineer,Mobile Developer,Indeed,NA,Germany,"Dallas, TX",R,$50.45 - $59.37 an hour,indeed.com
57,11-01-2022,AI engineer,Software Developer,SDH Systems,NA,Germany,"Farmers Branch, TX","Software Development,R","$81,806 ",indeed.com
58,10-09-2024,AI engineer,Senior Backend Java Developer - Dallas Based (Hybrid),Zimperium,NA,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
59,10-31-2024,AI engineer,"(TIBCO) Analyst II, Software Development",Select Medical,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/56df5588b2006fee1bbf652a24d1ada2,Germany,"Addison, TX","LAN,R",NA,indeed.com
60,11-14-2024,AI engineer,iOS Developer,Indeed,NA,Germany,"Fort Worth, TX","Software Development,R",$70 - $80 an hour,indeed.com
61,05-04-2017,AI engineer,UI/Angular JS Developer (GC-USC),Sonsoft Inc,NA,Germany,"Richardson, TX","LAN,R",NA,indeed.com
62,12-21-2022,AI engineer,Devops Engineers,Nuanza,NA,Germany,"McKinney, TX",R,NA,indeed.com
63,08-01-2024,AI engineer,Senior Android Developer,TEK NINJAS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f05f90301da28a2995493120b6dd0ff2,Germany,"Plano, TX","Software Development,R",NA,indeed.com
64,12-29-2023,AI engineer,Mid-Sr Level IOS Developer,Adidev Technologies Inc,NA,Germany,"Plano, TX",R,$30 - $40 an hour,indeed.com
65,05-03-2017,AI engineer,UI/ Developer Angular JS,Sonsoft Inc,NA,Germany,"Richardson, TX","LAN,R",NA,indeed.com
66,11-07-2024,AI engineer,Software Engineer III,Sirius XM,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/30d86e1af25d4d37019fc63b435e4744,Germany,"Irving, TX","LAN,R",NA,indeed.com
67,10-08-2024,AI engineer,"Senior Software Engineer, Android",Capital One,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/231e72fed9b08e7f098ab59080cc2dd6,Germany,"Plano, TX","Software Development,R",NA,indeed.com
68,10-16-2024,AI engineer,Mobile Full Stack Lead - (React Native + React),Photon,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4aa6cf8582dae94e91d8bf97770bbf32,Germany,"Dallas, TX","LAN,R",NA,indeed.com
69,08-23-2022,AI engineer,"Software Developer, .Net Web Applications",CEO Foundry,NA,Germany,"Plano, TX","LAN,R",NA,indeed.com
70,07-26-2023,AI engineer,"Sr. iOS Developer- Dallas, TX Hybrid",Five Pack Creative,NA,Germany,"Dallas, TX","MAN,Project Management,R","$100,000 - $150,000 ",indeed.com
71,12-05-2024,AI engineer,Senior Lead Full Stack Developer,Indeed,NA,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
72,11-20-2024,AI engineer,Sr. Android Engineer,Apollo Technology Solutions LLC,NA,Germany,"Plano, TX","Software Development,R",NA,indeed.com
73,12-04-2024,AI engineer,React Native Developer,Infosys,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3da3b97b6f16b9eaf7b736ff548625f2,Germany,"Richardson, TX","Software Development,R","$73,000 - $102,200 ",indeed.com
