id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
69,07-30-2024,Cloud Architect,Application Security Lead Analyst - VP,Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","Software Development,R","$125,760 - $188,640 ",indeed.com
70,09-30-2024,Cloud Architect,PKI Security Analyst,State Farm,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5867d80f1eb47c6a05a7336a09095a77,Germany,"Richardson, TX","RDS,R",NA,indeed.com
71,11-01-2024,Cloud Architect,GRC Information Security Analyst,StandardAero,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a86c1912001d0a28e13c31fe2b509111,Germany,"Dallas, TX","RDS,R",NA,indeed.com
72,09-19-2024,Cloud Architect,Senior Lead Information Security Analyst - IAM,Wells Fargo,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2ced2b321a964f69975fedbffe05c4bb,Germany,"Westlake, TX","R,Leadership",NA,indeed.com
73,11-14-2024,Cloud Architect,Third-Party Cyber Risk Analyst,Alcority,NA,Germany,"Dallas, TX","RDS,R",NA,indeed.com
74,12-07-2024,Cloud Architect,IT Audit and Compliance Analyst,HF Sinclair,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/80666cbc29cb2e2993b1fb53d206aa02,Germany,"Dallas, TX",R,NA,indeed.com
75,12-10-2024,Cloud Architect,Security Analyst II,Alkami Technology,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/76ec63032e29e67ebd3570d3986eed8c,Germany,"Plano, TX","Software Development,R","$61,761 - $92,641 ",indeed.com
76,06-27-2024,Cloud Architect,"Senior Application Security Analyst, Vice President",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","LAN,R","$125,760 - $188,640 ",indeed.com
77,09-17-2024,Cloud Architect,Security Analyst,Nexstar Broadcasting,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/70deafa404df39cde8f960a25bb31873,Germany,"Irving, TX",R,NA,indeed.com
78,11-18-2024,Cloud Architect,Sr. Lead Cloud Infrastructure Vulnerability Analyst,Blue Yonder,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f0736e9f63b24ef74345f631ec2d5315,Germany,"Dallas, TX","Software Development,R","$137,127 - $172,873 ",indeed.com
79,11-30-2024,Cloud Architect,IT Compliance Analyst III,Simmons Bank,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0701fce637a89f96583adba4849cad6f,Germany,"Dallas, TX","Asset Management,R,MAN",NA,indeed.com
80,04-01-2024,Cloud Architect,Host Based Systems Analyst SME,Gray Tier Technologies,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b2c5903af9f88d41af05dd7bdf92cbdf,Germany,"Arlington, TX","Go,R",NA,indeed.com
